,OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,PropertyName,TaxParcelIdentificationNumber,CouncilDistrictCode,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,LargestPropertyUseType,SecondLargestPropertyUseType,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kWh),Electricity(kBtu),NaturalGas(therms),NaturalGas(kBtu),DefaultData,ComplianceStatus,Address,City,State,Latitude,Longitude,TotalGHGEmissions,GHGEmissionsIntensity,SecondLargestPropertyUseTypeGFA,ENERGYSTARScore,LargestPropertyUseTypeGFA
16,21237,2015,NonResidential,Retail Store,STAPLES,1926049431,5,NORTHWEST,2001,1.0,1.0,23696,0,23696,"Parking, Retail Store",Retail Store,Parking,58.4,62.0,135.1,138.9,1392153.0,1477460.0,0.0,246620.0,841501.0,5507.0,550686.0,True,Compliant,13240 AURORA AVE N,Seattle,WA,47.72569066,-122.3432661,35.11,1.33,0.0,81.0,23829.0
17,21315,2015,NonResidential,Small- and Mid-Sized Office,1518 5TH AVE OFFICE,1975700135,7,DOWNTOWN,1903,1.0,3.0,57720,0,57720,Office,Office,no information,1.8,1.8,5.5,5.5,43943.0,43943.0,0.0,12879.0,43945.0,0.0,0.0,False,Compliant,1520 5TH AVE,Seattle,WA,47.61130865,-122.335723,0.31,0.0,6469.6,100.0,25000.0
18,21471,2015,NonResidential,Other,EITEL BUILDING (2ND AND PIKE BUILDING),1975700645,7,DOWNTOWN,1904,1.0,7.0,44928,0,44928,"Other, Personal Services (Health/Beauty, Dry Cleaning, etc), Restaurant, Retail Store",Other,Retail Store,9.2,9.2,27.4,27.4,413919.0,413919.0,0.0,111507.0,380478.0,335.0,33457.0,False,Compliant,1501 2ND AVE,Seattle,WA,47.60940552,-122.33934021,4.43,0.06,2660.0,51.4,38706.0
19,21474,2015,NonResidential,Other,SULTAN HOTEL/LUSTY LADY,1976200060,7,DOWNTOWN,1900,1.0,3.0,49760,0,49760,Other,Other,no information,1.0,1.0,3.2,3.2,24126.0,24126.0,0.0,7071.0,24127.0,0.0,0.0,False,Compliant,1315 1ST AVE,Seattle,WA,47.60705128,-122.3390359,0.17,0.0,9795.0,77.8,24019.0
20,21688,2015,NonResidential,Non-Refrigerated Warehouse,JUNEAU STREET ASSOC,2224049009,2,SOUTHEAST,1952,1.0,1.0,27435,0,27435,"Medical Office, Non-Refrigerated Warehouse",Non-Refrigerated Warehouse,Medical Office,44.9,54.2,94.5,104.3,1231546.0,1487513.0,0.0,182198.0,621684.0,6099.0,609888.0,False,Compliant,3613 S JUNEAU ST,Seattle,WA,47.54941353,-122.2866398,36.72,1.24,8315.0,49.0,19120.0
21,21796,2015,NonResidential,K-12 School,SEATTLE PREP - ADELPHIA,2025049007,3,EAST,1905,1.0,1.0,83882,0,83882,K-12 School,K-12 School,no information,30.3,34.3,69.6,73.8,2539565.0,2876720.0,0.0,444200.0,1515673.0,10240.0,1023954.0,False,Compliant,2400 11TH AVE E,Seattle,WA,47.64171214,-122.3173859,64.95,0.7,17019.8,72.0,83882.0
22,22441,2015,NonResidential,Small- and Mid-Sized Office,DEPT OF SOCIAL & HEALTH SERVICES,2768302930,6,BALLARD,1979,1.0,2.0,37448,0,37448,Office,Office,no information,68.0,71.0,179.6,177.9,2547582.0,2658998.0,0.0,567886.0,1937707.0,6100.0,609955.0,False,Compliant,907 NW BALLARD WAY,Seattle,WA,47.66247704,-122.3695606,45.9,1.0,5428.4,88.0,37448.0
23,22446,2015,NonResidential,Small- and Mid-Sized Office,SALTY DOG POTTERY & THE BOATWRIGHT,2768303115,6,BALLARD,1903,1.0,3.0,24913,0,24913,Office,Office,no information,9.6,9.6,26.5,26.5,238255.0,238255.0,0.0,57601.0,196542.0,417.0,41721.0,False,Compliant,4602 14TH AVE NW,Seattle,WA,47.6624069,-122.3730847,3.59,0.11,6469.6,100.0,24913.0
24,22830,2015,NonResidential,Worship Facility,FREEDOM CHURCH OF SEATTLE,2858600090,1,SOUTHWEST,1971,1.0,1.0,23772,0,23772,Worship Facility,Worship Facility,no information,11.9,14.5,37.4,45.5,282898.0,344505.0,0.0,82913.0,282910.0,0.0,0.0,False,Compliant,9601 35TH AVE SW,Seattle,WA,47.5170917,-122.3779648,1.97,0.03,11532.0,89.0,23772.0
25,23163,2015,NonResidential,Medical Office,LESCHI CENTER,8170100430,3,DOWNTOWN,1995,1.0,4.0,43813,23086,20727,Medical Office,Medical Office,no information,39.8,39.8,125.1,125.1,1798899.0,1798899.0,0.0,527227.0,1798974.0,0.0,0.0,True,Compliant,606 12TH AVE S,Seattle,WA,47.59703102,-122.3168033,12.54,0.11,12144.8,76.0,45145.0
26,23848,2015,NonResidential,"Restaurant
",SPAGHETTI FACTORY,7666202305,7,DOWNTOWN,1902,1.0,2.0,40320,0,40320,"Office, Restaurant",Restaurant,Office,94.7,91.5,193.4,184.2,3816695.0,3688427.0,0.0,531636.0,1814019.0,20028.0,2002751.0,False,Compliant,2815 ELLIOTT AVE,Seattle,WA,47.61522339,-122.354154,119.01,2.76,15806.0,47.0,24514.0
27,23912,2015,NonResidential,Small- and Mid-Sized Office,DENSHO,3320000165,3,Central,1947,1.0,1.0,45068,0,45068,Office,Office,no information,6.0,6.4,12.4,12.8,270004.0,289791.0,0.0,38412.0,131065.0,1389.0,138944.0,False,Compliant,1416 S JACKSON ST,Seattle,WA,47.59974199,-122.3130114,8.29,0.17,9840.8,100.0,45068.0
28,24547,2015,NonResidential,K-12 School,ISLAMIC SCHOOL OF SEATTLE,6840700175,3,Central,1929,1.0,2.0,24152,0,24152,K-12 School,K-12 School,no information,2.3,0.0,6.9,0.0,56493.0,0.0,0.0,14916.0,50897.0,0.0,0.0,False,Compliant,720 25TH AVE,Seattle,WA,47.60870162,-122.2998229,0.35,0.01,6043.0,100.0,24152.0
29,24717,2015,NonResidential,Other,1701 1ST AVE S,7666207085,2,GREATER DUWAMISH,1910,1.0,3.0,27690,0,27690,"Other, Parking",Other,Parking,0.7,0.7,2.2,2.2,17150.0,17150.0,0.0,5026.0,17150.0,0.0,0.0,False,Compliant,1701 1ST AVE S,Seattle,WA,47.58787647,-122.3345773,0.12,0.0,0.0,71.2,24717.0
30,25042,2015,NonResidential,Other,ALAN FRIEDMAN BUILDING,7548300545,2,GREATER DUWAMISH,1966,1.0,2.0,33332,0,33332,"Outpatient Rehabilitation/Physical Therapy, Parking",Outpatient Rehabilitation/Physical Therapy,Parking,19.9,22.9,37.7,40.9,662012.0,764018.0,0.0,78649.0,268361.0,3937.0,393662.0,False,Compliant,1701 18TH AVE S,Seattle,WA,47.58809497,-122.310103,22.78,0.65,0.0,54.2,33332.0
31,25455,2015,NonResidential,Other,DUCATI SEATTLE,4088803440,7,MAGNOLIA / QUEEN ANNE,1922,1.0,1.0,23050,0,23050,Automobile Dealership,Automobile Dealership,no information,186.2,188.7,373.8,367.4,4291789.0,4350474.0,0.0,576192.0,1966049.0,23258.0,2325821.0,False,Compliant,711 9TH AVE N,Seattle,WA,47.62617011,-122.3401021,137.23,5.59,5962.8,76.8,23050.0
32,25553,2015,NonResidential,Hotel,J & M HOTEL BUILDING,5247800130,7,DOWNTOWN,1900,1.0,3.0,25450,0,25450,Hotel,Hotel,no information,19.6,18.7,61.4,58.6,497556.0,475308.0,0.0,145825.0,497576.0,0.0,0.0,True,Compliant,210 1ST AVE S,Seattle,WA,47.60069333,-122.33410545,3.47,0.05,6050.0,98.0,25450.0
33,25674,2015,NonResidential,Low-Rise Multifamily,COMET TAVERN,6003500480,3,EAST,1910,1.0,3.0,32100,0,32100,"Bar/Nightclub, Multifamily Housing",Multifamily Housing,Bar/Nightclub,2.9,2.9,3.5,3.5,93851.0,93851.0,0.0,1929.0,6581.0,873.0,87270.0,False,Compliant,916 E PIKE ST,Seattle,WA,47.61432913,-122.3197623,4.68,0.14,10700.0,78.8,21400.0
34,27007,2015,NonResidential,Worship Facility,SEATTLE COMMUNITY CHURCH,5364200005,4,NORTHEAST,1954,1.0,2.0,20039,0,20039,Worship Facility,Worship Facility,no information,6.1,6.1,19.1,19.1,122156.0,122156.0,0.0,35802.0,122161.0,0.0,0.0,False,Compliant,4501 46TH AVE NE,Seattle,WA,47.6615423,-122.2787693,0.85,0.02,6657.8,99.0,20039.0
35,27639,2015,NonResidential,Other,TEATRO ZINZANNI,5457800275,7,MAGNOLIA / QUEEN ANNE,2008,1.0,2.0,23098,0,23098,Performing Arts,Performing Arts,no information,132.4,143.1,270.9,277.0,3058638.0,3304633.0,0.0,427134.0,1457443.0,16013.0,1601256.0,False,Compliant,225 ROY ST,Seattle,WA,47.62526703,-122.35187531,95.2,3.85,5962.8,77.2,23098.0
36,27829,2015,NonResidential,Small- and Mid-Sized Office,EAST PIKE BUILDING,6003000065,3,EAST,1920,1.0,2.0,21228,0,21228,Office,Office,no information,37.7,43.7,118.3,137.3,799996.0,928118.0,0.0,234465.0,800029.0,0.0,0.0,True,Compliant,1205 E PIKE ST,Seattle,WA,47.613922,-122.316421,5.58,0.1,10619.4,64.0,21228.0
37,49859,2015,Campus,Other,AMGEN INC. MASTER CAMPUS,7666201725,7,MAGNOLIA / QUEEN ANNE,2002,7.0,4.0,808520,376000,432520,Other,Other,no information,194.9,206.0,403.0,414.6,157606480.0,166523440.0,0.0,22490860.0,76742000.0,808676.0,80867644.0,False,Compliant,1201 AMGEN CT W,Seattle,WA,47.62811223,-122.3742647,4829.86,5.57,251097.0,65.8,808520.0
38,1,2016,NonResidential,Hotel,Mayflower park hotel,0659000030,7,DOWNTOWN,1927,1.0,12.0,88434,0,88434,Hotel,Hotel,no information,81.69999695,84.30000305,182.5,189.0,7226362.5,7456910.0,2003882.0,1156514.25,3946027.0,12764.5293,1276453.0,False,Compliant,405 Olive way,Seattle,WA,47.6122,-122.33798999999999,249.98,2.83,39238.4,60.0,88434.0
39,2,2016,NonResidential,Hotel,Paramount Hotel,0659000220,7,DOWNTOWN,1996,1.0,11.0,103566,15064,88502,"Hotel, Parking, Restaurant",Hotel,Parking,94.80000305,97.90000153,176.1000061,179.3999939,8387933.0,8664479.0,0.0,950425.1875,3242851.0,51450.81641,5145082.0,False,Compliant,724 Pine street,Seattle,WA,47.613170000000004,-122.33393000000001,295.86,2.86,15064.0,61.0,83880.0
40,3,2016,NonResidential,Hotel,5673-The Westin Seattle,0659000475,7,DOWNTOWN,1969,1.0,41.0,956110,196718,759392,Hotel,Hotel,no information,96.0,97.69999695,241.89999390000003,244.10000609999997,72587024.0,73937112.0,21566554.0,14515435.0,49526664.0,14938.0,1493800.0,False,Compliant,1900 5th Avenue,Seattle,WA,47.613929999999996,-122.3381,2089.28,2.19,241650.2,43.0,756493.0
41,5,2016,NonResidential,Hotel,HOTEL MAX,0659000640,7,DOWNTOWN,1926,1.0,10.0,61320,0,61320,Hotel,Hotel,no information,110.8000031,113.3000031,216.1999969,224.0,6794584.0,6946800.5,2214446.25,811525.3125,2768924.0,18112.13086,1811213.0,False,Compliant,620 STEWART ST,Seattle,WA,47.61412,-122.33663999999999,286.43,4.67,12016.8,56.0,61320.0
42,8,2016,NonResidential,Hotel,WARWICK SEATTLE HOTEL (ID8),0659000970,7,DOWNTOWN,1980,1.0,18.0,175580,62000,113580,"Hotel, Parking, Swimming Pool",Hotel,Parking,114.8000031,118.6999969,211.39999390000003,215.60000609999997,14172606.0,14656503.0,0.0,1573448.625,5368607.0,88039.98438,8803998.0,False,Compliant,401 LENORA ST,Seattle,WA,47.61375,-122.34047,505.01,2.88,68009.0,75.0,123445.0
43,9,2016,Nonresidential COS,Other,West Precinct,0660000560,7,DOWNTOWN,1999,1.0,2.0,97288,37198,60090,Police Station,Police Station,no information,136.1000061,141.6000061,316.2999878,320.5,12086616.0,12581712.0,0.0,2160443.75,7371434.0,47151.81641,4715182.0,False,Compliant,810 Virginia St,Seattle,WA,47.61623,-122.33657,301.81,3.1,36058.4,62.8,88830.0
44,10,2016,NonResidential,Hotel,Camlin,0660000825,7,DOWNTOWN,1926,1.0,11.0,83008,0,83008,Hotel,Hotel,no information,70.80000305,74.5,146.6000061,154.6999969,5758795.0,6062767.5,0.0,823919.875,2811215.0,29475.80078,2947580.0,False,Compliant,1619 9th Avenue,Seattle,WA,47.6139,-122.33283,176.14,2.12,27828.2,27.0,81352.0
45,11,2016,NonResidential,Other,Paramount Theatre,0660000955,7,DOWNTOWN,1926,1.0,8.0,102761,0,102761,Other - Entertainment/Public Assembly,Other - Entertainment/Public Assembly,no information,61.29999924,68.80000305,141.6999969,152.3000031,6298131.5,7067881.5,2276286.5,1065842.75,3636655.0,3851.890137,385189.0,False,Compliant,911 Pine St,Seattle,WA,47.61327,-122.33136,221.51,2.16,61333.6,70.6,102761.0
46,12,2016,NonResidential,Hotel,311wh-Pioneer Square,0939000080,7,DOWNTOWN,1904,1.0,15.0,163984,0,163984,Hotel,Hotel,no information,83.69999695,86.59999847,180.8999939,187.1999969,13723820.0,14194054.0,0.0,2138897.75,7297919.0,64259.0,6425900.0,False,Compliant,612 2nd Ave,Seattle,WA,47.602940000000004,-122.33263000000001,392.16,2.39,77019.2,43.0,163984.0
47,15,2016,NonResidential,Hotel,Hotel Monaco Seattle,0942000145,7,DOWNTOWN,1969,1.0,11.0,153163,19279,133884,Hotel,Hotel,no information,119.59999850000001,124.3000031,228.1999969,233.0,16016644.0,16646930.0,5237165.5,1813489.875,6187627.0,45918.5,4591850.0,False,Compliant,1101 4th Avenue,Seattle,WA,47.60695,-122.33413999999999,691.26,4.51,37668.8,30.0,133884.0
48,16,2016,NonResidential,Hotel,5679-W Seattle,0942000165,7,DOWNTOWN,1998,1.0,25.0,333176,61161,272015,Hotel,Hotel,no information,80.0,80.40000153,199.0,199.3999939,26941110.0,27070114.0,5999360.5,5299838.5,18083049.0,28586.99805,2858700.0,False,Compliant,1112 Fourth Avenue,Seattle,WA,47.60713,-122.33323,740.97,2.22,131567.0,36.0,336640.0
49,17,2016,NonResidential,Hotel,Executive Pacific Plaza,0942000210,7,DOWNTOWN,1928,1.0,9.0,65009,0,65009,Hotel,Hotel,no information,101.5,97.80000305,153.6000061,149.8000031,6596057.5,6358719.5,1656352.5,393610.6875,1343000.0,35967.05078,3596705.0,False,Compliant,400 Spring Street,Seattle,WA,47.60699,-122.33346,328.23,5.05,21176.4,48.0,65009.0
50,18,2016,NonResidential,Hotel,Crowne Plaza Hotel Seattle,0942000235,7,DOWNTOWN,1980,1.0,33.0,315952,57600,258352,"Hotel, Parking",Hotel,Parking,75.5,76.19999695,179.8999939,180.6999969,22325364.0,22524948.0,4337738.5,4075083.0,13904183.0,40834.39844,4083440.0,False,Compliant,1113 6th Ave,Seattle,WA,47.608090000000004,-122.33211999999999,648.62,2.05,57600.0,58.0,295511.0
51,19,2016,NonResidential,Hotel,Hotel Vintage Seattle,0942000265,7,DOWNTOWN,1922,1.0,11.0,92190,25200,66990,"Hotel, Parking",Hotel,Parking,159.5,165.8999939,297.39999389999997,303.89999389999997,10750010.0,11179203.0,4870847.5,1123203.125,3832369.0,20467.93359,2046793.0,False,Compliant,1100 5th Avenue,Seattle,WA,47.60755,-122.33243999999999,511.39,5.55,25200.0,35.0,67390.0
52,21,2016,Nonresidential COS,Other,The Seattle Public Library - Central Library,0942000275,7,DOWNTOWN,2004,1.0,11.0,412000,57000,355000,"Data Center, Library, Parking",Library,Parking,50.79999924,51.09999847,155.6000061,156.0,18588860.0,18706912.0,737559.5,5231916.0,17851297.0,0.0,0.0,False,Compliant,1000 Fourth Avenue,Seattle,WA,47.60649,-122.33296999999999,181.38,0.44,49000.0,71.0,364913.0
53,22,2016,NonResidential,Other,Downtown Seattle YMCA,0942000350,7,DOWNTOWN,1930,1.0,6.0,103911,0,103911,"Fitness Center/Health Club/Gym, Office, Swimming Pool",Fitness Center/Health Club/Gym,Office,76.59999847,78.40000153,157.3999939,159.6000061,9956396.0,10192124.0,4592347.5,1305354.125,4453868.0,9101.799805,910180.0,False,Compliant,909 4th Avenue,Seattle,WA,47.60546,-122.33278999999999,433.86,4.18,40000.0,55.0,90000.0
54,23,2016,NonResidential,Hotel,Renaissance Seattle Hotel,0942000430,7,DOWNTOWN,1983,1.0,28.0,416281,85000,331281,"Hotel, Parking",Hotel,Parking,96.30000305,98.59999847,228.5,232.8000031,33556756.0,34351920.0,0.0,6220773.0,21225277.0,123314.75,12331475.0,False,Compliant,515 Madison Street,Seattle,WA,47.606809999999996,-122.33078,802.89,1.93,85000.0,31.0,348329.0
55,24,2016,NonResidential,Mixed Use Property,The Rainier Club,0942000510,7,DOWNTOWN,1907,1.0,5.0,57452,0,57452,"Office, Other, Other - Lodging/Residential, Restaurant, Social/Meeting Hall",Social/Meeting Hall,Restaurant,132.3999939,137.1000061,280.7000122,285.0,7606084.5,7877219.0,1776201.875,1103397.125,3764791.0,20650.91211,2065091.0,False,Compliant,820 4th Ave.,Seattle,WA,47.60515,-122.33158999999999,273.02,4.75,15505.0,39.4,16442.0
56,25,2016,NonResidential,Hotel,Arctic Club Seattle,0942000610,7,DOWNTOWN,1916,1.0,10.0,104352,0,104352,Hotel,Hotel,no information,97.30000305,97.30000305,225.5,225.5,10154608.0,10154608.0,3430862.0,1731644.125,5908370.0,8153.759765999999,815376.0,False,Compliant,700 3rd Ave,Seattle,WA,47.60376,-122.33193999999999,349.32,3.35,44922.2,39.0,104352.0
57,26,2016,NonResidential,Other,King County Courthouse,0942000860,7,DOWNTOWN,1916,1.0,10.0,540360,0,540360,Courthouse,Courthouse,no information,83.69999695,87.5,182.6999969,186.6999969,44984468.0,47023088.0,0.0,7138872.5,24357833.0,206266.3125,20626631.0,False,Compliant,516 3RD AVE,Seattle,WA,47.60265,-122.33051,1265.29,2.34,159971.0,76.0,537150.0
58,27,2016,NonResidential,Other,King County Correctional Facility,0942001010,3,DOWNTOWN,1985,1.0,19.0,385274,0,385274,Other,Other,no information,124.1999969,128.6000061,229.5,232.89999390000003,47859812.0,49539212.0,0.0,5351014.5,18257661.0,296021.5,29602150.0,False,Compliant,500 5TH AVE,Seattle,WA,47.60378,-122.32842,1699.45,4.41,180890.2,61.6,385274.0
59,28,2016,SPS-District K-12,K-12 School,Graham Hill Elementary,1102000138,2,SOUTHEAST,1961,1.0,2.0,56228,0,56228,K-12 School,K-12 School,no information,26.10000038,29.10000038,60.70000076,64.59999847,1539478.5,1713623.5,0.0,274605.9063,936955.0,6025.229004,602523.0,True,,5149 S. Graham St.,Seattle,WA,47.545759999999994,-122.26853,38.53,0.69,19779.4,95.0,58916.0
60,29,2016,NonResidential,Hotel,WATERTOWN HOTEL,1142000755,4,NORTHEAST,2001,1.0,6.0,88592,30586,58006,"Hotel, Parking",Hotel,Parking,63.20000076,63.29999924,148.0,148.5,3663534.5,3673186.75,0.0,664194.375,2266231.0,13973.03027,1397303.0,False,Compliant,4242 ROOSEVELT WAY NE,Seattle,WA,47.65959,-122.31755,90.01,1.02,30586.0,84.0,58006.0
61,30,2016,NonResidential,University,Main Campus Center,0660001420,7,DOWNTOWN,1928,1.0,7.0,126593,0,126593,College/University,College/University,no information,90.69999695,97.5,173.0,180.0,11343686.0,12183313.0,0.0,1362096.75,4647474.0,66962.10938,6696211.0,False,Compliant,1000 Lenora St.,Seattle,WA,47.618159999999996,-122.33628999999999,388.04,3.07,15107.6,66.6,125000.0
62,31,2016,NonResidential,Other,Seattle Honda,0660001725,7,DOWNTOWN,1930,1.0,2.0,67224,0,67224,Automobile Dealership,Automobile Dealership,no information,19.5,19.5,61.20000076,61.20000076,1310236.625,1310236.625,0.0,384008.3125,1310236.0,0.0,0.0,False,Compliant,1015 & 1017 Olive Way,Seattle,WA,47.615,-122.33081000000001,9.13,0.14,26679.6,77.6,67224.0
63,32,2016,NonResidential,Hotel,Homewood Suites,0660001832,7,EAST,1991,1.0,8.0,158676,30301,128375,"Hotel, Parking, Retail Store, Swimming Pool",Hotel,Parking,45.5,46.29999924,58.0,58.79999924,5328051.5,5424942.0,0.0,167733.5,572307.0,47557.44922,4755745.0,False,Compliant,1011 Pike ST,Seattle,WA,47.613009999999996,-122.32928999999999,256.57,1.62,42000.0,79.0,112676.0
